Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-08-14T04:00:00.000Z,34.6500015259,34.75,34.3499984741,34.5,15819700,0.0,0.0,0.0
2025-08-15T04:00:00.000Z,34.3400001526,34.5200004578,34.2200012207,34.5,13881700,0.0,0.0,0.0
2025-08-18T04:00:00.000Z,34.6599998474,34.6800003052,34.4700012207,34.5499992371,8670800,0.0,0.0,0.0
2025-08-19T04:00:00.000Z,34.4700012207,34.5400009155,33.8499984741,33.8699989319,18812900,0.0,0.0,0.0
2025-08-20T04:00:00.000Z,34.2099990845,34.4500007629,34.2000007629,34.4300003052,10903400,0.0,0.0,0.0
2025-08-21T04:00:00.000Z,34.4799995422,34.6899986267,34.4500007629,34.6100006104,10597900,0.0,0.0,0.0
2025-08-22T04:00:00.000Z,34.4599990845,35.4700012207,34.4000015259,35.3400001526,26003300,0.0,0.0,0.0
2025-08-25T04:00:00.000Z,35.0699996948,35.3499984741,35.0200004578,35.0200004578,10286400,0.0,0.0,0.0
2025-08-26T04:00:00.000Z,34.9000015259,35.0999984741,34.8800010681,35.0200004578,13836600,0.0,0.0,0.0
2025-08-27T04:00:00.000Z,34.7299995422,35.0800018311,34.6100006104,34.9900016785,10084200,0.0,0.0,0.0
2025-08-28T04:00:00.000Z,35.4099998474,35.5200004578,35.2299995422,35.5200004578,21079100,0.0,0.0,0.0
2025-08-29T04:00:00.000Z,35.3499984741,36.2900009155,35.3199996948,36.1899986267,28952900,0.0,0.0,0.0
2025-09-02T04:00:00.000Z,36.6300010681,37.1699981689,36.4300003052,37.1500015259,35875300,0.0,0.0,0.0
2025-09-03T04:00:00.000Z,37.3300018311,37.6399993896,37.1800003052,37.3400001526,27291200,0.0,0.0,0.0
2025-09-04T04:00:00.000Z,37.2000007629,37.2200012207,36.6300010681,36.9300003052,45258500,0.0,0.0,0.0
2025-09-05T04:00:00.000Z,37.4099998474,37.5999984741,36.9700012207,37.2099990845,25435500,0.0,0.0,0.0
2025-09-08T04:00:00.000Z,37.5699996948,37.8300018311,37.3600006104,37.5099983215,25019700,0.0,0.0,0.0
2025-09-09T04:00:00.000Z,37.4300003052,37.5800018311,37.0099983215,37.1800003052,24001200,0.0,0.0,0.0
2025-09-10T04:00:00.000Z,37.3499984741,37.4900016785,37.2400016785,37.4099998474,17743600,0.0,0.0,0.0
2025-09-11T04:00:00.000Z,37.3699989319,37.9199981689,37.3300018311,37.7900009155,19051500,0.0,0.0,0.0
2025-09-12T04:00:00.000Z,38.2400016785,38.4500007629,38.1500015259,38.3400001526,19902300,0.0,0.0,0.0
2025-09-15T04:00:00.000Z,38.2999992371,38.7900009155,38.25,38.7599983215,22225100,0.0,0.0,0.0
2025-09-16T04:00:00.000Z,39.0,39.0099983215,38.3400001526,38.5999984741,25319700,0.0,0.0,0.0
2025-09-17T04:00:00.000Z,38.0400009155,38.3400001526,37.3499984741,37.7900009155,31045500,0.0,0.0,0.0
2025-09-18T04:00:00.000Z,37.8499984741,38.0,37.6100006104,37.9900016785,13289200,0.0,0.0,0.0
2025-09-19T04:00:00.000Z,38.2599983215,39.1199989319,38.1899986267,39.0400009155,36776300,0.0,0.0,0.0
2025-09-22T04:00:00.000Z,39.5,40.0499992371,39.3400001526,40.0400009155,32055400,0.0,0.0,0.0
2025-09-23T04:00:00.000Z,40.3100013733,40.3600006104,39.7900009155,39.9599990845,28492600,0.0,0.0,0.0
2025-09-24T04:00:00.000Z,40.1300010681,40.1599998474,39.6399993896,39.8199996948,31533200,0.0,0.0,0.0
2025-09-25T04:00:00.000Z,40.4599990845,41.0600013733,40.1199989319,41.0299987793,36395800,0.0,0.0,0.0
2025-09-26T04:00:00.000Z,41.2299995422,42.3300018311,41.0900001526,41.8600006104,44578500,0.0,0.0,0.0
2025-09-29T04:00:00.000Z,42.4599990845,42.75,42.1800003052,42.5,41290300,0.0,0.0,0.0
2025-09-30T04:00:00.000Z,41.7900009155,42.4599990845,41.7000007629,42.3699989319,34884200,0.0,0.0,0.0
2025-10-01T04:00:00.000Z,43.0299987793,43.4000015259,42.8699989319,42.9099998474,44341800,0.0,0.0,0.0
2025-10-02T04:00:00.000Z,43.5699996948,43.5900001526,41.6599998474,42.5299987793,58242300,0.0,0.0,0.0
2025-10-03T04:00:00.000Z,43.3300018311,43.9500007629,43.0499992371,43.5200004578,47523500,0.0,0.0,0.0
2025-10-06T04:00:00.000Z,44.0099983215,44.2599983215,43.8899993896,44.0600013733,34114000,0.0,0.0,0.0
2025-10-07T04:00:00.000Z,43.9700012207,43.9900016785,42.9500007629,43.3899993896,42769100,0.0,0.0,0.0
2025-10-08T04:00:00.000Z,44.4300003052,45.0099983215,44.2799987793,44.5600013733,59455700,0.0,0.0,0.0
2025-10-09T04:00:00.000Z,46.2700004578,46.3499984741,42.8100013733,44.7099990845,110701700,0.0,0.0,0.0
2025-10-10T04:00:00.000Z,45.4799995422,46.0,44.8800010681,45.4300003052,67017000,0.0,0.0,0.0
2025-10-13T04:00:00.000Z,46.9399986267,47.4399986267,46.5800018311,47.2599983215,57830400,0.0,0.0,0.0
2025-10-14T04:00:00.000Z,45.9900016785,47.2599983215,45.7700004578,46.7999992371,57821500,0.0,0.0,0.0
2025-10-15T04:00:00.000Z,47.75,48.4099998474,47.4199981689,48.3300018311,41672900,0.0,0.0,0.0
2025-10-16T04:00:00.000Z,48.0999984741,49.25,48.0,49.1699981689,48853000,0.0,0.0,0.0
2025-10-17T04:00:00.000Z,48.4599990845,48.5900001526,45.8800010681,46.9900016785,86492600,0.0,0.0,0.0
2025-10-20T04:00:00.000Z,47.7599983215,47.8300018311,47.0600013733,47.7200012207,35933500,0.0,0.0,0.0
2025-10-21T04:00:00.000Z,45.1899986267,45.3800010681,43.3100013733,43.7900009155,81395300,0.0,0.0,0.0
2025-10-22T04:00:00.000Z,43.7400016785,44.1300010681,43.2799987793,43.8800010681,43270000,0.0,0.0,0.0
2025-10-23T04:00:00.000Z,44.7200012207,44.8699989319,44.1699981689,44.1800003052,24565600,0.0,0.0,0.0
2025-10-24T04:00:00.000Z,44.0800018311,44.3899993896,43.8400001526,43.9900016785,24014000,0.0,0.0,0.0
2025-10-27T04:00:00.000Z,42.9700012207,43.0600013733,41.7000007629,42.4000015259,42914100,0.0,0.0,0.0
2025-10-28T04:00:00.000Z,42.3600006104,42.9099998474,42.2299995422,42.7000007629,27782000,0.0,0.0,0.0
2025-10-29T04:00:00.000Z,43.8400001526,43.9399986267,42.8300018311,43.2299995422,27351700,0.0,0.0,0.0
2025-10-30T04:00:00.000Z,43.6800003052,44.4399986267,43.5400009155,44.3400001526,30333200,0.0,0.0,0.0
2025-10-31T04:00:00.000Z,44.4799995422,44.5200004578,43.8899993896,44.0099983215,21310900,0.0,0.0,0.0
2025-11-03T05:00:00.000Z,44.25,44.3600006104,43.5600013733,43.7599983215,17946700,0.0,0.0,0.0
2025-11-04T05:00:00.000Z,43.0400009155,43.4399986267,42.5099983215,42.7400016785,26679100,0.0,0.0,0.0
2025-11-05T05:00:00.000Z,43.4900016785,43.7900009155,43.3499984741,43.6500015259,16178500,0.0,0.0,0.0
2025-11-06T05:00:00.000Z,43.6599998474,43.9000015259,43.2400016785,43.5499992371,15957900,0.0,0.0,0.0
2025-11-07T05:00:00.000Z,44.0200004578,44.2299995422,43.5099983215,43.9199981689,16493100,0.0,0.0,0.0
2025-11-10T05:00:00.000Z,45.1699981689,45.8699989319,45.0099983215,45.7900009155,20763800,0.0,0.0,0.0
2025-11-11T05:00:00.000Z,46.2799987793,46.4799995422,45.5999984741,46.4500007629,19693700,0.0,0.0,0.0
2025-11-12T05:00:00.000Z,47.0999984741,48.7000007629,46.8899993896,48.3199996948,51559700,0.0,0.0,0.0
2025-11-13T05:00:00.000Z,48.2900009155,48.4199981689,47.2099990845,47.4199981689,39328400,0.0,0.0,0.0
2025-11-14T05:00:00.000Z,45.7700004578,46.7099990845,45.4000015259,45.9599990845,31793500,0.0,0.0,0.0
2025-11-17T05:00:00.000Z,45.8100013733,46.2599983215,44.9500007629,45.4700012207,23582000,0.0,0.0,0.0
2025-11-18T05:00:00.000Z,45.8699989319,46.4399986267,45.5900001526,46.0999984741,20909400,0.0,0.0,0.0
2025-11-19T05:00:00.000Z,46.7999992371,47.5,45.6899986267,46.4500007629,30797100,0.0,0.0,0.0
2025-11-20T05:00:00.000Z,46.2599983215,46.6399993896,45.5400009155,45.7799987793,28460400,0.0,0.0,0.0
2025-11-21T05:00:00.000Z,44.9000015259,45.9500007629,44.7599983215,45.2999992371,26351900,0.0,0.0,0.0
2025-11-24T05:00:00.000Z,45.4099998474,46.6399993896,45.3600006104,46.6300010681,21486800,0.0,0.0,0.0
2025-11-25T05:00:00.000Z,46.5499992371,46.7700004578,45.9700012207,46.6699981689,24006600,0.0,0.0,0.0
2025-11-26T05:00:00.000Z,47.3100013733,48.4500007629,47.1500015259,48.4000015259,26280300,0.0,0.0,0.0
2025-11-28T05:00:00.000Z,49.6699981689,51.2700004578,49.5800018311,51.2099990845,41350000,0.0,0.0,0.0
2025-12-01T05:00:00.000Z,51.9900016785,53.3600006104,51.6100006104,52.5200004578,66064100,0.0,0.0,0.0
2025-12-02T05:00:00.000Z,52.8300018311,53.2000007629,51.7700004578,53.1300010681,43952700,0.0,0.0,0.0
2025-12-03T05:00:00.000Z,52.9900016785,53.3899993896,52.4199981689,53.0699996948,33817700,0.0,0.0,0.0
2025-12-04T05:00:00.000Z,52.2799987793,52.3600006104,51.1399993896,51.7599983215,48740300,0.0,0.0,0.0
2025-12-05T05:00:00.000Z,52.7099990845,53.8199996948,52.5299987793,52.9500007629,43566000,0.0,0.0,0.0
2025-12-08T05:00:00.000Z,52.8899993896,52.9700012207,52.2599983215,52.7099990845,19711200,0.0,0.0,0.0
2025-12-09T05:00:00.000Z,53.3899993896,55.1899986267,53.3600006104,55.1699981689,59738900,0.0,0.0,0.0
2025-12-10T05:00:00.000Z,55.1300010681,56.2200012207,54.4799995422,56.0699996948,54915000,0.0,0.0,0.0
2025-12-11T05:00:00.000Z,56.7700004578,58.2999992371,56.4700012207,57.6199989319,67910900,0.0,0.0,0.0
2025-12-12T05:00:00.000Z,58.5299987793,58.5600013733,55.1300010681,56.0999984741,78667400,0.0,0.0,0.0
2025-12-15T05:00:00.000Z,57.8400001526,58.2000007629,57.0200004578,58.1100006104,43227800,0.0,0.0,0.0
2025-12-16T05:00:00.000Z,57.6100006104,57.9900016785,57.0999984741,57.7299995422,32461300,0.0,0.0,0.0
2025-12-17T05:00:00.000Z,59.2700004578,60.6399993896,59.0499992371,60.2599983215,65128000,0.0,0.0,0.0
2025-12-18T05:00:00.000Z,59.8199996948,60.0299987793,58.5800018311,59.3199996948,47603400,0.0,0.0,0.0
2025-12-19T05:00:00.000Z,59.7900009155,61.1599998474,59.6899986267,60.9300003052,42610000,0.0,0.0,0.0
2025-12-22T05:00:00.000Z,62.5999984741,62.8199996948,61.7400016785,62.4700012207,50621700,0.0,0.0,0.0
2025-12-23T05:00:00.000Z,63.6800003052,64.8799972534,62.3699989319,64.8399963379,75680000,0.0,0.0,0.0
2025-12-24T05:00:00.000Z,65.0800018311,65.5299987793,63.6100006104,65.2200012207,58826000,0.0,0.0,0.0
2025-12-26T05:00:00.000Z,67.8300018311,71.2300033569,67.3499984741,71.1200027466,139161200,0.0,0.0,0.0
2025-12-29T05:00:00.000Z,65.6600036621,66.4899978638,63.9199981689,66.0100021362,153207900,0.0,0.0,0.0
2025-12-30T05:00:00.000Z,69.1100006104,70.7600021362,68.0299987793,68.9800033569,117759200,0.0,0.0,0.0
2025-12-31T05:00:00.000Z,65.5400009155,66.8799972534,63.5299987793,64.4199981689,114745300,0.0,0.0,0.0
2026-01-02T05:00:00.000Z,67.3000030518,67.3600006104,64.75,65.75,75553300,0.0,0.0,0.0
